Type,Name,RidgeCV,LDA,LogReg,RandomForest,Rocket,Minirocket,Multirocket,,Difference,TRidgeCV,TLDA,TLogReg,TRandomForest,,TRocket,TMinirocket,TMultirocket
Image,PhalangesOutlinesCorrect,0.67,0.66,0.67,0.82,0.83,0.84,0.85,,-0.03,0.04,0.02,0.03,0.97,,33.79,11.16,22.07
Sensor,Phoneme,0.11,0.08,0.1,0.13,0.28,0.27,0.35,,-0.22,0.05,0.08,0.93,0.77,,291.79,55.97,118.63
Hemodynamics,PigAirwayPressure,0.02,0.21,0.08,0.09,0.09,0.88,0.6,,-0.67,0.08,0.08,1.96,0.63,,85.84,16.36,36.67
Hemodynamics,PigArtPressure,0.1,0.12,0.17,0.19,0.95,0.99,0.95,,-0.79,0.07,0.08,2.12,0.6,,86.08,16.3,32.23
Hemodynamics,PigCVP,0.04,0.14,0.1,0.11,0.93,0.95,0.88,,-0.81,0.06,0.08,1.98,0.62,,86.35,18.09,37.19
Sensor,Plane,0.98,0.99,0.98,0.98,1,1,1,,-0.01,0.01,0.01,0.03,0.13,,4.52,1.37,2.69
Power,PowerCons,0.98,0.73,0.99,1,0.92,0.99,0.98,,0.01,0.02,0.01,0.01,0.13,,7.6,1.89,4.39
Image,ProximalPhalanxOutlineAgeGroup,0.84,0.83,0.85,0.86,0.85,0.85,0.86,,0,0.01,0.01,0.03,0.19,,7.52,2.76,4.85
Image,ProximalPhalanxOutlineCorrect,0.84,0.84,0.85,0.86,0.9,0.91,0.91,,-0.05,0.01,0.01,0.02,0.28,,11.08,3.05,6.98
Image,ProximalPhalanxTW,0.75,0.75,0.76,0.8,0.81,0.82,0.82,,-0.02,0.01,0.01,0.03,0.2,,7.53,2.08,4.93
Device,RefrigerationDevices,0.35,0.35,0.37,0.53,0.53,0.48,0.5,,0,0.05,0.09,0.08,0.44,,75.72,16.33,35.31
Spectrum,Rock,0.88,0.94,0.84,0.66,0.9,0.8,0.86,,0.04,0.05,0.05,0.35,0.14,,27.86,6,11.3
Device,ScreenType,0.44,0.4,0.39,0.42,0.49,0.47,0.57,,-0.13,0.09,0.08,0.13,0.43,,75.04,17.87,29.63
Spectrum,SemgHandGenderCh2,0.85,0.76,0.82,0.85,0.92,0.9,0.96,,-0.11,0.06,0.12,0.13,0.42,,185.63,40.64,94.42
Spectrum,SemgHandMovementCh2,0.5,0.39,0.5,0.5,0.62,0.71,0.78,,-0.27,0.11,0.2,0.33,0.77,,188.37,46.9,97.53
Spectrum,SemgHandSubjectCh2,0.78,0.59,0.81,0.68,0.89,0.87,0.92,,-0.1,0.14,0.19,0.29,0.72,,187.85,47.42,97.31
Simulated,ShapeletSim,0.49,0.51,0.48,0.51,1,1,1,,-0.49,0.01,0.01,0.01,0.11,,13.89,2.94,7.91
Image,ShapesAll,0.5,0.11,0.63,0.73,0.91,0.92,0.93,,-0.2,0.16,0.13,0.86,1.71,,85.03,20.18,35.73
Device,SmallKitchenAppliances,0.54,0.35,0.41,0.71,0.81,0.82,0.82,,-0.11,0.05,0.08,0.1,0.4,,75.23,17.56,27.53
Simulated,SmoothSubspace,0.8,0.83,0.86,0.99,0.98,0.94,0.98,,0.01,0.01,0.01,0.01,0.11,,1.13,0.64,1.48
Sensor,SonyAIBORobotSurface1,0.69,0.7,0.68,0.67,0.92,0.89,0.89,,-0.21,0.01,0,0.01,0.1,,6.21,1.54,3.67
Sensor,SonyAIBORobotSurface2,0.83,0.81,0.81,0.81,0.91,0.92,0.94,,-0.11,0.01,0,0.01,0.1,,9.02,2.15,5.42
Sensor,StarLightCurves,0.85,0.81,0.92,0.95,0.98,0.98,0.98,,-0.04,0.39,0.56,0.35,1.04,,1269.51,242.24,377.64
Spectro,Strawberry,0.93,0.95,0.95,0.96,0.98,0.98,0.98,,-0.02,0.04,0.03,0.04,0.34,,32.97,8.48,15.24
Image,SwedishLeaf,0.66,0.72,0.83,0.87,0.97,0.97,0.98,,-0.11,0.02,0.02,0.09,0.34,,20.83,5.28,10.88
Image,Symbols,0.77,0.82,0.82,0.85,0.97,0.98,0.98,,-0.13,0.01,0.01,0.05,0.11,,53.8,11.94,20.26
Simulated,SyntheticControl,0.8,0.93,0.91,0.96,1,0.98,1,,-0.04,0.01,0.01,0.03,0.17,,5.55,1.58,4.11
Motion,ToeSegmentation1,0.57,0.55,0.58,0.62,0.96,0.96,0.95,,-0.34,0.01,0.01,0.02,0.11,,10.15,2.14,5.06
Motion,ToeSegmentation2,0.55,0.54,0.56,0.75,0.92,0.92,0.92,,-0.18,0.01,0.01,0.02,0.11,,8,1.83,4.1
Sensor,Trace,0.61,0.7,0.76,0.83,1,1,1,,-0.17,0.01,0.01,0.04,0.13,,7.89,2.55,4.65
ECG,TwoLeadECG,0.94,0.89,0.95,0.73,1,1,1,,-0.05,0.01,0.01,0.01,0.1,,13.18,2.99,6.75
Simulated,TwoPatterns,0.79,0.84,0.84,0.83,1,1,1,,-0.16,0.05,0.03,0.05,0.69,,87.63,19.53,50.38
Simulated,UMD,0.82,0.79,0.84,0.95,0.99,0.99,0.99,,-0.04,0.01,0.01,0.02,0.11,,4.04,1.19,2.42
Motion,UWaveGestureLibraryAll,0.85,0.28,0.81,0.93,0.98,0.97,0.98,,-0.05,0.38,0.34,0.42,1.13,,572.39,118.11,222.63
Motion,UWaveGestureLibraryX,0.63,0.51,0.63,0.76,0.86,0.85,0.87,,-0.11,0.1,0.08,0.13,0.79,,190.21,42.27,71.54
Motion,UWaveGestureLibraryY,0.53,0.42,0.58,0.68,0.77,0.78,0.8,,-0.12,0.08,0.06,0.17,0.83,,190.52,41.41,72.78
Motion,UWaveGestureLibraryZ,0.51,0.45,0.55,0.71,0.79,0.8,0.82,,-0.11,0.13,0.06,0.13,0.82,,188.85,38.04,72.02
Sensor,Wafer,0.94,0.94,0.94,0.99,1,1,1,,-0.01,0.03,0.03,0.03,0.66,,146.24,28.99,70.63
Spectro,Wine,0.83,0.91,0.89,0.78,0.81,0.83,0.89,,0.02,0.01,0.01,0.02,0.11,,3.94,1.08,2.31
Image,WordSynonyms,0.38,0.23,0.46,0.55,0.75,0.76,0.78,,-0.23,0.02,0.02,0.18,0.33,,33.33,6.97,13.01
Motion,Worms,0.38,0.42,0.34,0.55,0.74,0.75,0.75,,-0.21,0.03,0.05,0.14,0.27,,33.03,8.08,15.3
Motion,WormsTwoClass,0.55,0.62,0.52,0.62,0.81,0.77,0.78,,-0.18,0.03,0.05,0.06,0.24,,33.04,7.6,15.25
Image,Yoga,0.65,0.59,0.67,0.81,0.91,0.91,0.92,,-0.11,0.03,0.04,0.06,0.31,,186.13,33.29,70.64
